City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
suva,-18.1416,178.4415,23.71,94,75,4.57,FJ,1699833316
castillos,-34.1667,-53.8333,16.14,82,71,2.2,UY,1699833317
alice springs,-23.7,133.8833,28.75,42,79,4.12,AU,1699833313
murun-kuren,49.6342,100.1625,-9.92,51,11,1.54,MN,1699833317
kapa'a,22.0752,-159.319,28.99,80,40,9.26,US,1699833317
la passe,45.5549,-0.8967,15.13,89,97,4.63,FR,1699833317
nova sintra,14.8667,-24.7167,23.81,68,52,3.47,CV,1699833318
honiara,-9.4333,159.95,28.57,77,76,0.77,SB,1699833318
recani,31.2846,-4.2688,20.3,29,99,1.57,MA,1699833318
shalkar,47.8288,59.6258,4.38,82,12,2.29,KZ,1699833318
tonsberg,59.2675,10.4076,1.26,86,100,3.6,NO,1699833318
bhimunipatnam,17.8833,83.4333,22.73,77,69,3.2,IN,1699833319
phu ly,20.5411,105.9139,18.49,87,100,5.24,VN,1699833319
yuxi,24.355,102.5422,13.54,98,45,1.29,CN,1699833319
padang,-0.9492,100.3543,25.03,89,67,1.0,ID,1699833319
tionk essil,12.7856,-16.5217,24.98,61,38,2.39,SN,1699833320
swift current,50.2834,-107.8014,5.45,56,0,2.57,CA,1699833320
bel ombre,-4.6167,55.4167,26.91,83,20,1.54,SC,1699833229
mohammedia,33.7066,-7.3944,19.18,100,100,2.57,MA,1699833321
chenzhou,25.8,113.0333,7.01,95,100,2.49,CN,1699833321
saint-francois,46.4154,3.9054,12.69,95,75,2.06,FR,1699833322
forster,-32.1667,152.5167,22.99,74,99,4.99,AU,1699833322
bandon,51.7469,-8.7425,11.77,98,100,7.0,IE,1699833322
sinabang,2.4803,96.3801,26.36,84,97,2.26,ID,1699833323
richards bay,-28.783,32.0377,19.14,81,100,3.72,ZA,1699833111
st. john's,47.5649,-52.7093,-0.02,89,100,6.69,CA,1699833029
bangui,4.3612,18.555,22.4,98,100,0.85,CF,1699833323
migne,46.6274,0.3146,15.53,53,100,6.69,FR,1699833324
bandarbeyla,9.4942,50.8122,26.63,84,41,6.89,SO,1699833324
kayyerkan,69.3786,87.7439,-1.5,100,100,5.92,RU,1699833324
tura,25.5198,90.2201,16.1,91,0,2.86,IN,1699833148
priob'ye,62.5206,65.5964,-3.32,97,79,2.38,RU,1699833324
mbala,-8.8402,31.3659,18.35,79,100,1.84,ZM,1699833325
fisterra,42.9049,-9.2629,19.3,92,93,12.71,ES,1699833325
gannan,47.9147,123.5031,-8.05,79,3,2.65,CN,1699833325
rudbar,30.15,62.6,16.79,39,75,1.65,AF,1699833325
chibougamau,49.9168,-74.3659,-5.21,93,100,2.06,CA,1699833246
den burg,53.0542,4.7972,6.65,98,100,3.09,NL,1699833326
sisimiut,66.9395,-53.6735,-8.66,86,99,2.96,GL,1699833326
taltal,-25.4,-70.4833,17.46,74,11,2.12,CL,1699833327
mombetsu,44.3525,143.3525,2.02,71,71,2.83,JP,1699833327
hadibu,12.65,54.0333,26.56,83,64,5.98,YE,1699833327
gamay,12.3854,125.2979,27.87,87,100,3.27,PH,1699833328
muang phonsavan,19.45,103.2167,17.65,94,79,0.92,LA,1699833328
mount pleasant,32.7941,-79.8626,13.99,91,100,4.12,US,1699833328
eyl,7.9803,49.8164,27.07,77,87,6.6,SO,1699833328
cockburn town,21.4612,-71.1419,28.59,76,4,8.81,TC,1699833328
kalispell,48.1958,-114.3129,8.02,64,0,1.54,US,1699833050
swan hill,-35.3378,143.5544,19.97,30,1,4.88,AU,1699833329
kalmunai,7.4167,81.8167,24.96,90,100,4.01,LK,1699833329
katsuren-haebaru,26.3369,127.8719,22.01,68,100,5.14,JP,1699833169
port moresby,-9.4431,147.1797,28.68,65,20,2.57,PG,1699833237
nuuk,64.1835,-51.7216,-5.66,68,84,2.57,GL,1699833330
upington,-28.4478,21.2561,21.21,16,0,3.6,ZA,1699833330
kenai,60.5544,-151.2583,-1.62,95,0,1.54,US,1699833330
ghatanji,20.1333,78.3167,18.54,60,76,2.49,IN,1699833330
baharly,38.4362,57.4316,14.6,47,1,4.33,TM,1699833330
yemetsk,63.4721,41.7941,-4.13,80,64,5.05,RU,1699833331
belmonte,-15.8631,-38.8828,25.26,78,2,6.19,BR,1699833331
degerfors,59.238,14.4308,0.6,88,99,2.01,SE,1699833331
san francisco,37.7749,-122.4194,22.77,63,40,4.63,US,1699833331
jiuquan,39.7432,98.5174,-3.32,43,2,1.94,CN,1699833332
talakan,50.3167,130.3667,-10.22,87,51,2.23,RU,1699833082
dwarka,22.2394,68.9678,25.84,44,91,4.59,IN,1699833332
los andes,-32.8337,-70.5983,12.23,74,38,1.83,CL,1699833332
izluchinsk,60.9794,76.9242,0.01,93,100,5.35,RU,1699833333
nzega,-2.479,29.5564,13.22,94,88,1.59,RW,1699833333
konarka,19.9,86.1167,21.22,79,83,3.64,IN,1699833333
salinopolis,-0.6136,-47.3561,27.72,76,9,7.98,BR,1699833104
khandyga,62.6667,135.6,-23.8,98,100,0.76,RU,1699833334
zabol,32.25,67.25,5.95,52,21,2.35,AF,1699833334
qarqaraly,49.4058,75.4742,-0.29,95,90,4.22,KZ,1699833334
aliabad,41.4822,46.6353,13.79,58,20,2.06,AZ,1699833334
taphan hin,16.2209,100.4198,26.09,99,99,1.0,TH,1699833335
zdvinsk,54.7021,78.661,2.32,99,100,2.73,RU,1699833335
balqash,46.8481,74.995,4.34,65,93,4.91,KZ,1699833335
east ballina,-28.8667,153.5833,26.0,80,42,3.38,AU,1699833335
colonia menno,-22.3667,-59.8167,38.13,23,57,3.94,PY,1699833336
alo,7.4178,6.7371,25.45,87,62,1.23,NG,1699833336
broome,42.2506,-75.833,1.48,79,13,0.45,US,1699833117
oranjemund,-28.55,16.4333,14.41,87,0,7.46,NA,1699833336
puerto deseado,-47.7503,-65.8938,7.43,60,20,3.28,AR,1699833223
gandi,12.9636,5.7434,24.55,18,6,4.46,NG,1699833337
gardez,33.5974,69.2259,3.84,33,6,0.8,AF,1699833337
prince rupert,54.3161,-130.3201,7.05,65,100,3.6,CA,1699833074
galliano,29.4422,-90.2992,21.0,83,100,3.09,US,1699833338
"laikit, laikit ii (dimembe)",1.4792,124.9735,28.47,70,20,1.03,ID,1699833338
gangawati,15.4333,76.5333,20.49,87,32,1.53,IN,1699833338
tashtagol,52.7657,87.8894,1.74,98,100,0.94,RU,1699833339
zhosaly,45.4878,64.0781,3.95,80,22,2.34,KZ,1699833339
lusambo,-4.9667,23.45,19.18,99,88,0.69,CD,1699833336
roma,43.2128,-75.4557,0.37,83,0,0.0,US,1699833279
lompoc,34.6391,-120.4579,23.23,43,0,5.66,US,1699833340
hit,33.6416,42.8251,20.05,33,100,1.22,IQ,1699833340
san felipe,10.3399,-68.7425,23.53,96,100,0.43,VE,1699833340
angol,-37.8,-72.7167,8.27,66,4,2.84,CL,1699833340
lesogorsk,56.0458,99.5136,-10.6,92,87,0.45,RU,1699833340
cadale,2.7603,46.3222,27.54,77,51,2.59,SO,1699833340
lappeenranta,61.0587,28.1887,1.03,93,100,6.17,FI,1699833341
yuto,-23.6434,-64.4719,35.79,44,65,0.89,AR,1699833341
laguna,38.421,-121.4238,23.71,32,0,2.57,US,1699833341
kourou,5.1552,-52.6478,26.61,85,53,3.93,GF,1699833341
bawku,11.0616,-0.2417,28.63,22,39,3.18,GH,1699833341
carnarvon,-24.8667,113.6333,22.03,74,17,4.05,AU,1699833342
kolwezi,-10.7148,25.4667,16.39,97,98,2.42,CD,1699833342
arkalyk,50.2486,66.9114,3.81,94,93,2.43,KZ,1699833342
qamdo,31.1667,97.2333,-9.87,51,0,1.43,CN,1699833342
demerval lobao,-5.3583,-42.6764,31.67,31,36,0.73,BR,1699833342
boende,-0.2167,20.8667,20.5,99,81,0.72,CD,1699833342
daru,-9.0763,143.2092,26.82,69,88,3.56,PG,1699833343
aktobe,50.2797,57.2072,0.05,93,0,2.0,KZ,1699833343
blenheim,-41.516,173.9528,21.4,45,84,2.24,NZ,1699833343
mananjary,-21.2167,48.3333,20.78,85,36,2.11,MG,1699833344
pueblo,38.2545,-104.6091,17.97,17,0,6.17,US,1699833344
acarau,-2.8856,-40.12,26.45,73,0,6.47,BR,1699833344
pingliang,35.5392,106.6861,-1.12,58,0,1.8,CN,1699833344
broken hill,-31.95,141.4333,22.88,23,56,4.26,AU,1699833344
howrah,22.5892,88.3103,21.0,88,28,2.06,IN,1699833071
kahna nau,31.3692,74.3653,16.02,77,4,0.0,PK,1699833345
kasongo,-4.45,26.6667,19.64,99,95,0.28,CD,1699833345
punta del este,-34.9667,-54.95,16.06,67,75,7.2,UY,1699833346
rongelap,11.1635,166.8941,27.87,82,100,9.16,MH,1699833346
pandan,14.0453,124.1694,27.21,86,96,6.91,PH,1699833346
brookings,44.3114,-96.7984,11.0,43,0,3.6,US,1699833151
iquitos,-3.7481,-73.2472,28.02,74,20,1.54,PE,1699833346
viedma,-40.8135,-62.9967,10.7,19,1,1.95,AR,1699833346
megion,61.0296,76.1136,0.01,96,98,4.16,RU,1699833347
ad dabbah,18.05,30.95,29.07,24,46,3.95,SD,1699833347
tamandare,-8.7597,-35.1047,24.1,75,5,2.4,BR,1699833347
kargasok,59.0556,80.8572,1.09,94,100,2.68,RU,1699833347
puerto palomas,31.7667,-107.6167,16.36,49,35,4.5,MX,1699833347
mugia,43.1041,-9.2179,19.39,92,94,13.12,ES,1699833348
kastamonu,41.5,33.6667,7.94,90,95,0.23,TR,1699833348
kone,-21.0595,164.8658,27.29,41,11,4.36,NC,1699833348
eirunepe,-6.6603,-69.8736,27.35,72,83,0.27,BR,1699833348
mikashevichy,52.2173,27.476,6.5,80,98,7.23,BY,1699833349
mata-utu,-13.2816,-176.1745,28.77,71,75,7.31,WF,1699833349
villamontes,-21.25,-63.5,24.02,76,67,3.55,BO,1699833349
matias romero,16.8833,-95.0333,23.33,88,71,6.18,MX,1699833349
inhambane,-23.865,35.3833,23.35,82,59,3.37,MZ,1699833349
olenino,56.2092,33.4889,4.59,99,100,1.18,RU,1699833349
porto novo,6.4965,2.6036,26.47,86,20,2.3,BJ,1699833349
abashiri,44.0213,144.2697,0.16,74,75,1.54,JP,1699833350
kovdor,67.5662,30.4758,-11.01,99,100,0.85,RU,1699833350
soto la marina,23.7667,-98.2167,17.18,93,100,3.45,MX,1699833350
acapulco de juarez,16.8634,-99.8901,30.9,70,0,5.66,MX,1699833130
kotel'nikovo,47.6317,43.1461,12.9,76,100,5.86,RU,1699833350
ambon,-3.6954,128.1814,30.08,70,20,1.03,ID,1699833351
weno,7.4515,151.8468,26.97,89,100,4.63,FM,1699833351
nagqu,31.5,92.0,-12.87,48,0,1.37,CN,1699833351
polessk,54.862,21.1028,7.98,73,56,6.18,RU,1699833351
mbanza-ngungu,-5.25,14.8667,20.27,97,100,0.17,CD,1699833351
puerto francisco de orellana,-0.4667,-76.9667,22.69,97,100,0.85,EC,1699833351
ceres,37.5949,-120.9577,23.95,33,0,3.6,US,1699833352
ancud,-41.8697,-73.8203,7.74,72,34,3.61,CL,1699833352
lae,-6.7221,146.9847,28.94,66,57,1.65,PG,1699833352
kidal,18.4411,1.4078,25.7,12,0,4.51,ML,1699833108
castelfranco veneto,45.6761,11.926,6.51,88,30,1.46,IT,1699833352
dalbandin,28.8947,64.4101,17.37,29,99,2.79,PK,1699833353
alofi,-19.0595,-169.9187,25.94,78,99,6.17,NU,1699833353
tomah,43.9786,-90.504,12.88,63,10,5.38,US,1699833353
alburquerque,39.2208,-7.0023,13.51,93,81,1.57,ES,1699833353
arawa,-6.2132,155.5367,30.59,62,70,1.36,PG,1699833353
geraldton,-28.7667,114.6,22.23,64,0,4.12,AU,1699833353
cootamundra,-34.65,148.0333,21.64,29,51,2.52,AU,1699833354
luderitz,-26.6481,15.1594,18.38,56,0,7.98,NA,1699833354
lhokseumawe,5.1801,97.1507,26.35,83,79,1.88,ID,1699833354
north bay,46.3168,-79.4663,2.28,72,75,3.09,CA,1699833354
chongwe,-15.3292,28.682,23.94,50,91,1.13,ZM,1699833354
lethem,3.3803,-59.7968,29.2,55,58,3.09,GY,1699833354
pacific grove,36.6177,-121.9166,19.45,81,0,5.14,US,1699833355
north shore,-36.8,174.75,21.66,59,1,4.02,NZ,1699833355
selfoss,63.9331,-20.9971,3.36,64,100,7.58,IS,1699833355
uray,60.1247,64.7758,0.49,92,45,2.68,RU,1699833355
